Día,Gancho (3 segundos),Desarrollo visual,CTA,Hashtags
"Semana 1 - Día 1","Tu IA no te falla: le estás pidiendo mal","Split screen: mismo prompt sin estilo definido vs con bloque de estilo de 25 palabras","Guarda esto antes de tu próxima generación","#iaimagenes #midjourney #disenografico #promptengineering"
"Semana 1 - Día 2","Genera 100 imágenes y ninguna combina entre sí","Grid caótico de 9 imágenes que se reordena en un grid coherente","Comenta ESTILO y te digo por dónde empezar","#consistenciavisual #midjourneytips #iacreativa #branding"
"Semana 1 - Día 3","Las 7 decisiones que tomas antes de generar","Checklist animada apareciendo una a una sobre fondo azul marino","Sigue para la parte 2","#promptips #arteia #disenodigital #ia2026"
"Semana 1 - Día 4","Esta palabra arruina tu prompt y todos la usan","Zoom sobre la palabra cinematic tachada en rojo y sustituida por 4 datos técnicos","Guárdalo para tu próximo prompt","#midjourney #iluminacion #promptengineering #arteia"
"Semana 1 - Día 5","Mismo sujeto, 5 estilos, 5 precios distintos","Un zorro en Pixar 3D, hiperrealismo, acuarela, ciberpunk y minimalista","¿Cuál venderías tú? Comenta","#estilosia #ilustracion #freelance #disenografico"
"Semana 1 - Día 6","Por qué tu imagen bonita ya no vale nada","Contador bajando de 47 dólares a 0 sobre una imagen aislada, luego sube con una serie coherente","Sigue si vives del diseño","#negociosdigitales #iacreativa #freelancetips #arteia"
"Semana 1 - Día 7","Copié este bloque de estilo 30 veces y funcionó las 30","Texto del bloque de estilo en pantalla mientras se generan 6 piezas idénticas en tono","Copia el bloque del comentario fijado","#promptengineering #midjourney #consistenciavisual #ia"
"Semana 1 - Día 8","El error que cometí durante 6 meses generando con IA","Timelapse de carpeta con 400 imágenes inconexas cerrándose de golpe","No repitas mi error, mira el perfil","#storytime #iacreativa #disenador #arteia"
"Semana 1 - Día 9","Gratis vs 10 dólares al mes: la verdad incómoda","Tabla comparativa animada de Leonardo, DALL-E, Midjourney y Firefly","Guarda la tabla","#herramientasia #midjourney #leonardoai #dalle"
"Semana 1 - Día 10","Test de 10 minutos para saber si tu IA sirve","Se lanzan los prompts A y B con la misma semilla y se comparan los dos rostros","Haz el test y cuéntame el resultado","#testia #midjourney #promptips #iacreativa"
"Semana 2 - Día 11","El mismo personaje 20 veces sin que le cambie la cara","Grid de 20 retratos idénticos apareciendo uno a uno","Esto es la Matriz de Consistencia","#consistenciavisual #midjourney #personajeia #ilustracion"
"Semana 2 - Día 12","Tu personaje necesita una cicatriz (en serio)","Antes y después: rostro genérico vs rostro con rasgo distintivo único","Añádele un rasgo raro hoy","#diseñodepersonajes #arteia #promptips #ilustraciondigital"
"Semana 2 - Día 13","cw 100 vs cw 40: la diferencia lo es todo","Cuatro versiones del mismo personaje con distintos valores de character weight","Guarda la tabla de valores","#midjourney #cref #promptengineering #iacreativa"
"Semana 2 - Día 14","Nunca uses la última imagen como referencia","Animación de deriva de personaje: 8 copias degradándose hasta ser otra persona","Vuelve siempre al canon","#errorescomunes #midjourney #consistenciavisual #arteia"
"Semana 2 - Día 15","La hoja canon que uso en todos mis proyectos","Se monta en pantalla la hoja de frente, perfil y tres cuartos sobre gris","Replica esta hoja antes de nada","#characterdesign #midjourney #flujodetrabajo #ia"
"Semana 2 - Día 16","Cambié solo la luz y parece otra producción","Mismo retrato en Rembrandt, contraluz, hora dorada y luz práctica","¿Cuál te gusta más? Comenta el número","#iluminacion #fotografia #arteia #cinematografia"
"Semana 2 - Día 17","Habla como un director de foto y la IA te obedece","Palabras de marketing tachadas vs términos técnicos reales resaltados","Guarda el vocabulario","#promptengineering #fotografia #midjourney #iluminacion"
"Semana 2 - Día 18","4 capas para que parezca un fotograma","Se construye la escena capa a capa: fuente, calidad, medio, grado de color","Aplícalo a tu próxima imagen","#cinematografia #arteia #promptips #disenovisual"
"Semana 2 - Día 19","Una sola luz principal. Siempre.","Comparativa: escena con 4 fuentes mezcladas vs escena con una key light clara","Sigue para más claves de luz","#iluminacion #midjourney #fotografiadigital #iacreativa"
"Semana 2 - Día 20","3 constantes de luz para 20 imágenes iguales","Grid de 20 piezas con la misma dirección, temperatura y dureza de luz","Guarda las 3 constantes","#consistenciavisual #iluminacion #arteia #branding"
"Semana 3 - Día 21","Recortar tu imagen la está destruyendo","Imagen 16:9 recortada a 9:16 cortando media cabeza, en rojo","Genera en el formato final","#redessociales #reels #disenografico #errorescomunes"
"Semana 3 - Día 22","Las 3 bandas del vertical que nadie te explica","Overlay sobre un 9:16 marcando zona muerta superior, central e inferior","Guarda el esquema","#reels #tiktoktips #diseñoparaRedes #contenido"
"Semana 3 - Día 23","El formato más rentable del feed es el 4:5","Comparativa de ocupación de pantalla entre 1:1, 4:5 y 9:16","Prueba el 4:5 esta semana","#instagramtips #formatos #disenodigital #contenidovisual"
"Semana 3 - Día 24","La regla del pulgar: si no se ve a este tamaño, no sirve","Imagen reduciéndose al 10% hasta ser irreconocible y luego corregida","Aplica las 3 correcciones","#miniaturas #youtube #disenografico #contenido"
"Semana 3 - Día 25","Un prompt, tres formatos, una campaña completa","Se lanza el mismo prompt con ar 9:16, 1:1 y 16:9 en paralelo","Guarda la plantilla multiformato","#flujodetrabajo #midjourney #contenidovisual #productividad"
"Semana 3 - Día 26","Deja de decir que usas IA para vender","Texto de gig reescrito de lo genero con IA a sistema visual de marca","Reescribe tu oferta hoy","#freelance #fiverr #ventas #negociosdigitales"
"Semana 3 - Día 27","Cobrar 5 dólares te trae los peores clientes","Escalera de precios de 4 fases subiendo de 15 a 300 dólares","Sube de fase esta semana","#freelancetips #precios #fiverr #emprendimiento"
"Semana 3 - Día 28","Qué vender en Etsy vs Fiverr vs Redbubble","Tabla comparativa con esfuerzo, ingreso y riesgo de cada plataforma","Guarda la tabla y elige una","#etsy #fiverr #redbubble #ingresospasivos"
"Semana 3 - Día 29","El archivo extra que convierte 3 estrellas en 5","Se muestra una Style Bible de una página con paleta HEX y bloque de estilo","Añádelo a tu próxima entrega","#freelance #clientes #disenografico #ventas"
"Semana 3 - Día 30","3 reglas legales antes de vender arte IA","Tres tarjetas apareciendo: licencia, marcas registradas, registro de prompts","Guárdalo antes de publicar","#legal #arteia #freelance #negociosdigitales"
"Semana 4 - Día 31","Un prompt, 64 imágenes: el comando de permutaciones","Se escriben las llaves con opciones y aparece una parrilla enorme de resultados","Prueba primero con 2 opciones","#midjourney #automatizacion #promptengineering #productividad"
"Semana 4 - Día 32","Cómo produzco 50 piezas coherentes en una tarde","Cronograma de 8 pasos con tiempos sobre fondo azul marino","Guarda el flujo completo","#productividad #flujodetrabajo #arteia #freelance"
"Semana 4 - Día 33","Si no sabes qué archivo es cuál, no tienes producción","Carpeta caótica que se reorganiza con nomenclatura profesional","Copia el sistema de nombres","#organizacion #flujodetrabajo #disenador #productividad"
"Semana 4 - Día 34","Los fallos solo se ven cuando las miras juntas","Cuadrícula de 20 piezas y 3 se marcan en rojo por desentonar","Haz siempre el control en cuadrícula","#controldecalidad #consistenciavisual #arteia #diseno"
"Semana 4 - Día 35","Automatizar sin sistema multiplica la basura","64 imágenes inconsistentes cayendo en una papelera animada","Valida a mano 5 veces antes de escalar","#automatizacion #errorescomunes #iacreativa #midjourney"
"Semana 4 - Día 36","Mi archivo de plantillas vale más que mis imágenes","Se abre PLANTILLAS.txt con prompts parametrizados en huecos de mayúsculas","Crea el tuyo hoy","#flujodetrabajo #promptengineering #freelance #productividad"
"Semana 4 - Día 37","Descarto el 70% de lo que genero y por eso funciona","Selección rápida de 20 imágenes quedándose solo con 6","Sé despiadado seleccionando","#procesocreativo #arteia #diseno #calidad"
"Semana 4 - Día 38","30 días de contenido visual en una sola sesión","Timelapse del calendario llenándose de piezas coherentes","Guarda esto para tu próximo mes","#contenido #planificacion #redessociales #iacreativa"
"Semana 4 - Día 39","Las 8 leyes de la consistencia visual en 40 segundos","Las 8 leyes apareciendo numeradas con transición rápida","Guarda el resumen completo","#resumen #consistenciavisual #arteia #disenografico"
"Semana 4 - Día 40","La consistencia no es un truco, es una decisión","Frase final sobre fondo azul marino con acento naranja y logo AURA","La guía completa está en el perfil","#arteia #midjourney #consistenciavisual #disenodigital"
